-5.3168;-0.2727;1.4402;-0.63;0.00261;11.18;9.89;1;17.98;1;181.32;1.03;-36.499;-2.978;-12.492;38.692;33226;HIP33226 HD265866 Gli
-1.4819;-2.8801;4.6112;1.677;0.00054;12.89;11.64;1;18.37;1;177.46;12.96;-15.814;-28.634;-1.274;32.735;53020;HIP53020 Gli
-4.7844;-2.4303;-1.8947;1.478;0.01631;9.19;7.97;1;18.55;1;175.72;0.68;-22.572;-61.667;-16.514;67.713;25878;HIP25878 HD36395 Gli
5.254;1.0258;2.07;1.609;0.00631;10.23;9.02;1;18.71;1;174.23;2.24;35.829;-19.552;23.359;47.028;82817;HIP82817 HD152751 Gli
-1.0492;5.2474;2.149;0.902;0.34983;5.87;4.67;1;18.8;1;173.41;0.27;29.784;53.184;-15.455;62.884;96100;HIP96100 HD185144 Gli Sig Dra Alsafi
-3.6216;-4.1095;-1.8262;1.478;0.01422;9.34;8.15;1;18.82;1;173.19;0.65;-4.853;-18.915;-14.067;24.067;29295;HIP29295 HD42581 Gli
-5.5504;-1.3533;-0.9267;1.748;0.00062;12.75;11.56;1;18.87;1;172.78;2.25;-119.767;-89.041;8.887;149.504;26857;HIP26857 Gli
5.1128;-2.3507;-1.4505;1.748;0.00131;11.93;10.75;1;18.94;1;172.08;1.29;0;0;0;0;86990;HIP86990 Gli
4.4621;3.8043;-0.3363;1.643;0.00602;10.28;9.12;1;19.15;1;170.26;0.8;67.979;15.319;-1.916;69.709;94761;HIP94761 HD180617 Gli
4.6168;-1.8427;3.1891;1.086;0.1395;6.86;5.72;1;19.25;1;169.32;0.99;77.518;-20.928;4.158;80.4;73184;HIP73184 HD131977 Gli
-4.6755;-3.3789;1.3805;1.713;0.00091;12.32;11.19;1;19.34;1;168.59;1.58;-27.262;-24.516;-4.775;36.974;37766;HIP37766 Gli
5.1543;-2.6628;1.2469;1.416;0.00516;10.44;9.31;1;19.34;1;168.52;0.84;19.356;-48.926;18.773;55.864;76074;HIP76074 Gli
-3.1962;4.9944;-0.5244;0.54;1.13614;4.59;3.46;1;19.41;1;167.99;0.37;-33.009;-6.356;-16.967;37.655;3821;HIP3821 HD4614 Gli Eta Cas Achird
5.9244;-0.1612;0.7016;1.137;0.08122;7.45;6.33;1;19.46;1;167.56;0.63;27.369;-22.713;4.92;35.905;84478;HIP84478 HD156026 Gli
-0.2026;3.2559;-4.9997;1.542;0.00708;10.1;8.98;1;19.46;1;167.51;0.89;-13.88;-51.793;21.584;57.802;117473;HIP117473 Gli
5.9394;-0.1782;0.7168;0.991;0.51541;5.44;4.33;1;19.51;1;167.08;0.64;27.11;-22.995;4.603;35.845;84405;HIP84405 HD155885 Gli
